Project_ID,Project_Title,Domain,Sub_Domain,Project_Type,Technology,Abstract,Academic_Year,Student_Interest_Tags
P0001,AI-Based E-Commerce Decision Support System,Web Development,E-Commerce,Software,MERN Stack,This software project focuses on e-commerce under the Web Development domain using MERN Stack.,2021-22,E-Commerce
P0002,Design and Implementation of Blockchain Systems Management System,Security,Blockchain Systems,Software,Blockchain Solidity,This software project focuses on blockchain systems under the Security domain using Blockchain Solidity.,2023-24,Blockchain Systems
P0003,AI-Based Database Systems Attendance Platform,Software Engineering,Database Systems,Software,Java MySQL Swing,This software project focuses on database systems under the Software Engineering domain using Java MySQL Swing.,2021-22,Database Systems
P0004,Analysis of Smart City Automation System,IoT,Smart City,Hardware + Software,Arduino Sensors MQTT,This hardware + software project focuses on smart city under the IoT domain using Arduino Sensors MQTT.,2022-23,Smart City
P0005,Smart Predictive Analytics Prediction Model,AI/ML,Predictive Analytics,Software,Python Regression,This software project focuses on predictive analytics under the AI/ML domain using Python Regression.,2022-23,Predictive Analytics
P0006,Secure AgriTech Detection Framework,IoT,AgriTech,Hardware + Software,Arduino Soil Sensors,This hardware + software project focuses on agritech under the IoT domain using Arduino Soil Sensors.,2023-24,AgriTech
P0007,AI-Based Recommender Systems Recommendation Engine,AI/ML,Recommender Systems,Software,Python Collaborative Filtering,This software project focuses on recommender systems under the AI/ML domain using Python Collaborative Filtering.,2023-24,Recommender Systems
P0008,Real-Time Natural Language Processing Attendance Platform,AI/ML,Natural Language Processing,Software,Python NLP Scikit-learn,This software project focuses on natural language processing under the AI/ML domain using Python NLP Scikit-learn.,2022-23,Natural Language Processing
P0009,Smart Natural Language Processing Analytics Dashboard,AI/ML,Natural Language Processing,Software,Python NLP Scikit-learn,This software project focuses on natural language processing under the AI/ML domain using Python NLP Scikit-learn.,2021-22,Natural Language Processing
P0010,Real-Time FinTech Analytics Dashboard,Software Engineering,FinTech,Software,Java Spring MySQL,This software project focuses on fintech under the Software Engineering domain using Java Spring MySQL.,2023-24,FinTech
P0011,Analysis of Energy Systems Attendance Platform,IoT,Energy Systems,Hardware + Software,ESP8266 IoT,This hardware + software project focuses on energy systems under the IoT domain using ESP8266 IoT.,2021-22,Energy Systems
P0012,Analysis of Blockchain Systems Recommendation Engine,Security,Blockchain Systems,Software,Blockchain Solidity,This software project focuses on blockchain systems under the Security domain using Blockchain Solidity.,2022-23,Blockchain Systems
P0013,Intelligent Computer Vision Management System,AI/ML,Computer Vision,Software,Python YOLO,This software project focuses on computer vision under the AI/ML domain using Python YOLO.,2021-22,Computer Vision
P0014,AI-Based EdTech Monitoring Solution,Web Development,EdTech,Software,React Django,This software project focuses on edtech under the Web Development domain using React Django.,2021-22,EdTech
P0015,AI-Based Database Systems Detection Framework,Software Engineering,Database Systems,Software,Java MySQL Swing,This software project focuses on database systems under the Software Engineering domain using Java MySQL Swing.,2022-23,Database Systems
P0016,Analysis of Blockchain Systems Automation System,Security,Blockchain Systems,Software,Blockchain Solidity,This software project focuses on blockchain systems under the Security domain using Blockchain Solidity.,2022-23,Blockchain Systems
P0017,Design and Implementation of Web Applications Monitoring System,Web Development,Web Applications,Software,React Node MySQL,This software project focuses on web applications under the Web Development domain using React Node MySQL.,2021-22,Web Applications
P0018,Smart E-Commerce Automation System,Web Development,E-Commerce,Software,MERN Stack,This software project focuses on e-commerce under the Web Development domain using MERN Stack.,2022-23,E-Commerce
P0019,Real-Time Natural Language Processing Management System,AI/ML,Natural Language Processing,Software,Python BERT,This software project focuses on natural language processing under the AI/ML domain using Python BERT.,2023-24,Natural Language Processing
P0020,Secure Predictive Analytics Recommendation Engine,AI/ML,Predictive Analytics,Software,Python Regression,This software project focuses on predictive analytics under the AI/ML domain using Python Regression.,2023-24,Predictive Analytics
P0021,Analysis of FinTech Attendance Platform,Software Engineering,FinTech,Software,Java Spring MySQL,This software project focuses on fintech under the Software Engineering domain using Java Spring MySQL.,2022-23,FinTech
P0022,AI-Based Database Systems Decision Support System,Software Engineering,Database Systems,Software,Java MySQL Swing,This software project focuses on database systems under the Software Engineering domain using Java MySQL Swing.,2022-23,Database Systems
P0023,Development of Computer Vision Management System,AI/ML,Computer Vision,Software,Python OpenCV CNN,This software project focuses on computer vision under the AI/ML domain using Python OpenCV CNN.,2023-24,Computer Vision
P0024,ML-Driven FinTech Recommendation Engine,Software Engineering,FinTech,Software,Java Spring MySQL,This software project focuses on fintech under the Software Engineering domain using Java Spring MySQL.,2021-22,FinTech
P0025,Design and Implementation of Career Platforms Management System,Web Development,Career Platforms,Software,React Node MongoDB,This software project focuses on career platforms under the Web Development domain using React Node MongoDB.,2023-24,Career Platforms
P0026,Automated E-Commerce Monitoring System,Web Development,E-Commerce,Software,MERN Stack,This software project focuses on e-commerce under the Web Development domain using MERN Stack.,2022-23,E-Commerce
P0027,Secure Web Applications Detection Framework,Web Development,Web Applications,Software,HTML CSS JavaScript PHP,This software project focuses on web applications under the Web Development domain using HTML CSS JavaScript PHP.,2022-23,Web Applications
P0028,Real-Time Recommender Systems Detection Framework,AI/ML,Recommender Systems,Software,Python Collaborative Filtering,This software project focuses on recommender systems under the AI/ML domain using Python Collaborative Filtering.,2021-22,Recommender Systems
P0029,Intelligent Deep Learning Recommendation Engine,AI/ML,Deep Learning,Software,Python CNN,This software project focuses on deep learning under the AI/ML domain using Python CNN.,2021-22,Deep Learning
P0030,Automated Home Automation Detection Framework,IoT,Home Automation,Hardware + Software,Raspberry Pi Python,This hardware + software project focuses on home automation under the IoT domain using Raspberry Pi Python.,2022-23,Home Automation
P0031,Secure Database Systems Monitoring Solution,Software Engineering,Database Systems,Software,Java MySQL Swing,This software project focuses on database systems under the Software Engineering domain using Java MySQL Swing.,2022-23,Database Systems
P0032,Real-Time FinTech Decision Support System,Software Engineering,FinTech,Software,Java Spring MySQL,This software project focuses on fintech under the Software Engineering domain using Java Spring MySQL.,2023-24,FinTech
P0033,Intelligent FinTech Attendance Platform,Software Engineering,FinTech,Software,Java Spring MySQL,This software project focuses on fintech under the Software Engineering domain using Java Spring MySQL.,2023-24,FinTech
P0034,Intelligent E-Commerce Attendance Platform,Web Development,E-Commerce,Software,MERN Stack,This software project focuses on e-commerce under the Web Development domain using MERN Stack.,2021-22,E-Commerce
P0035,Analysis of Energy Systems Monitoring Solution,IoT,Energy Systems,Hardware + Software,ESP8266 IoT,This hardware + software project focuses on energy systems under the IoT domain using ESP8266 IoT.,2021-22,Energy Systems
P0036,AI-Based Recommender Systems Monitoring System,AI/ML,Recommender Systems,Software,Python Collaborative Filtering,This software project focuses on recommender systems under the AI/ML domain using Python Collaborative Filtering.,2021-22,Recommender Systems
P0037,Secure Database Systems Prediction Model,Software Engineering,Database Systems,Software,Java MySQL Swing,This software project focuses on database systems under the Software Engineering domain using Java MySQL Swing.,2023-24,Database Systems
P0038,AI-Based Natural Language Processing Analytics Dashboard,AI/ML,Natural Language Processing,Software,Python BERT,This software project focuses on natural language processing under the AI/ML domain using Python BERT.,2021-22,Natural Language Processing
P0039,Design and Implementation of E-Commerce Monitoring System,Web Development,E-Commerce,Software,MERN Stack,This software project focuses on e-commerce under the Web Development domain using MERN Stack.,2021-22,E-Commerce
P0040,Secure EdTech Decision Support System,Web Development,EdTech,Software,React Django,This software project focuses on edtech under the Web Development domain using React Django.,2021-22,EdTech
P0041,Development of EdTech Monitoring Solution,Web Development,EdTech,Software,React Django,This software project focuses on edtech under the Web Development domain using React Django.,2023-24,EdTech
P0042,Automated Healthcare IT Automation System,Web Development,Healthcare IT,Software,HTML CSS JS Django,This software project focuses on healthcare it under the Web Development domain using HTML CSS JS Django.,2023-24,Healthcare IT
